Frey_Onset,WIC_Files,Frey_MLAT,Frey_MLT,SH1,SH2,SH3,SH1_Files,SH2_Files,SH3_Files
2000-10-31 10:20:54,wic20003051020.idl,63.9,21.78,2000-10-31 10:19:24,2000-10-31 10:20:18,2000-10-31 10:21:12,vis2000305101924.idl,vis2000305102018.idl,vis2000305102112.idl
2000-11-05 17:46:37,wic20003101746.idl,66.42,22.29,2000-11-05 17:45:38,2000-11-05 17:46:32,2000-11-05 17:47:26,vis2000310174538.idl,vis2000310174632.idl,vis2000310174726.idl
2000-11-06 09:25:13,wic20003110925.idl,65.62,19.91,2000-11-06 09:23:25,2000-11-06 09:24:19,2000-11-06 09:25:13,vis2000311092325.idl,vis2000311092419.idl,vis2000311092513.idl
2000-11-06 10:49:01,wic20003111049.idl,65.04,22.05,2000-11-06 10:45:10,2000-11-06 10:48:58,2000-11-06 10:49:52,vis2000311104510.idl,vis2000311104858.idl,vis2000311104952.idl
2000-11-08 16:38:31,wic20003131638.idl,65.99,23.47,2000-11-08 16:35:01,2000-11-08 16:35:55,2000-11-08 16:39:43,vis2000313163555.idl,vis2000313163555.idl,vis2000313163943.idl
2000-11-08 17:41:50,wic20003131741.idl,65.26,23.94,2000-11-08 17:39:26,2000-11-08 17:40:20,2000-11-08 17:41:56,vis2000313173926.idl,vis2000313174020.idl,vis2000313174156.idl
2000-11-08 18:37:01,wic20003131837.idl,66.79,22.4,2000-11-08 18:35:39,2000-11-08 18:36:33,2000-11-08 18:37:27,vis2000313183633.idl,vis2000313183633.idl,vis2000313183727.idl
2000-11-11 17:31:23,wic20003161731.idl,65.84,22.76,2000-11-11 17:29:10,2000-11-11 17:30:04,2000-11-11 17:31:41,vis2000316172910.idl,vis2000316173004.idl,vis2000316173141.idl
2000-11-28 11:04:56,wic20003331104.idl,63.96,22.74,2000-11-28 11:03:16,2000-11-28 11:04:10,2000-11-28 11:05:46,vis2000333110316.idl,vis2000333110410.idl,vis2000333110546.idl
2000-11-30 15:02:04,wic20003351502.idl,68.07,22.95,2000-11-30 15:00:59,2000-11-30 15:01:53,2000-11-30 15:03:29,vis2000335150059.idl,vis2000335150153.idl,vis2000335150329.idl
2000-12-01 10:22:15,wic20003361022.idl,67.08,21.74,2000-12-01 10:21:06,2000-12-01 10:22:00,2000-12-01 10:22:54,vis2000336102106.idl,vis2000336102200.idl,vis2000336102254.idl
2000-12-03 18:12:44,wic20003381812.idl,62.61,21.77,2000-12-03 18:10:15,2000-12-03 18:11:51,2000-12-03 18:12:46,vis2000338181015.idl,vis2000338181151.idl,vis2000338181246.idl
2000-12-04 11:22:09,wic20003391122.idl,66.17,21.29,2000-12-04 11:20:26,2000-12-04 11:21:20,2000-12-04 11:22:14,vis2000339112026.idl,vis2000339112120.idl,vis2000339112214.idl
2000-12-07 10:50:17,wic20003421050.idl,66.23,22.42,2000-12-07 10:49:00,2000-12-07 10:49:54,2000-12-07 10:51:30,vis2000342104900.idl,vis2000342104954.idl,vis2000342105130.idl
2000-12-09 01:05:06,wic20003440105.idl,66.28,23.16,2000-12-09 01:03:59,2000-12-09 01:04:54,2000-12-09 01:06:30,vis2000344010359.idl,vis2000344010454.idl,vis2000344010630.idl
2000-12-11 07:20:01,wic20003460720.idl,73.09,20.9,2000-12-11 07:18:32,2000-12-11 07:19:26,2000-12-11 07:20:20,vis2000346071832.idl,vis2000346071926.idl,vis2000346072020.idl
2000-12-20 08:12:13,wic20003550812.idl,71.09,23.59,2000-12-20 08:10:26,2000-12-20 08:11:20,2000-12-20 08:15:08,vis2000355081026.idl,vis2000355081120.idl,vis2000355081508.idl
2000-12-20 10:10:53,wic20003551010.idl,69.47,22.71,2000-12-20 10:09:03,2000-12-20 10:10:39,2000-12-20 10:11:33,vis2000355100903.idl,vis2000355101039.idl,vis2000355101133.idl
2000-12-26 10:01:09,wic20003611001.idl,65.83,0.31,2000-12-26 10:00:09,2000-12-26 10:01:03,2000-12-26 10:01:58,vis2000361100009.idl,vis2000361100103.idl,vis2000361100158.idl
2000-12-28 16:27:14,wic20003631627.idl,66.48,22.36,2000-12-28 16:25:07,2000-12-28 16:26:43,2000-12-28 16:27:37,vis2000363162507.idl,vis2000363162643.idl,vis2000363162737.idl
2000-12-30 22:39:06,wic20003652239.idl,68.02,23.97,2000-12-30 22:38:05,2000-12-30 22:38:59,2000-12-30 22:39:53,vis2000365223805.idl,vis2000365223859.idl,vis2000365223953.idl
2001-01-04 15:27:03,wic20010041527.idl,64.1,23.76,2001-01-04 15:25:39,2001-01-04 15:26:33,2001-01-04 15:27:27,vis2001004152539.idl,vis2001004152633.idl,vis2001004152727.idl
2001-01-05 08:04:14,wic20010050804.idl,69.91,0.33,2001-01-05 08:03:11,2001-01-05 08:04:05,2001-01-05 08:04:59,vis2001005080311.idl,vis2001005080405.idl,vis2001005080459.idl
2001-01-06 02:29:54,wic20010060229.idl,68.86,23.61,2001-01-06 02:28:08,2001-01-06 02:29:44,2001-01-06 02:30:38,vis2001006022808.idl,vis2001006022944.idl,vis2001006023038.idl
2001-01-08 09:55:40,wic20010080955.idl,68.29,0.38,2001-01-08 09:54:31,2001-01-08 09:55:25,2001-01-08 09:56:20,vis2001008095431.idl,vis2001008095525.idl,vis2001008095620.idl
2001-01-10 14:27:31,wic20010101427.idl,68.2,23.65,2001-01-10 14:25:23,2001-01-10 14:26:59,2001-01-10 14:27:53,vis2001010142523.idl,vis2001010142659.idl,vis2001010142753.idl
2001-01-14 09:12:40,wic20010140912.idl,70.18,22.78,2001-01-14 09:11:21,2001-01-14 09:12:15,2001-01-14 09:13:09,vis2001014091121.idl,vis2001014091215.idl,vis2001014091309.idl
2001-01-21 06:59:32,wic20010210659.idl,65.22,0.53,2001-01-21 06:58:21,2001-01-21 06:59:15,2001-01-21 07:00:09,vis2001021065821.idl,vis2001021065915.idl,vis2001021070009.idl
2001-01-22 00:11:34,wic20010220011.idl,61.48,23.94,2001-01-22 00:10:23,2001-01-22 00:11:17,2001-01-22 00:12:11,vis2001022001023.idl,vis2001022001117.idl,vis2001022001211.idl
2001-01-24 06:46:14,wic20010240646.idl,64.65,0.38,2001-01-24 06:43:46,2001-01-24 06:44:40,2001-01-24 06:46:16,vis2001024064346.idl,vis2001024064440.idl,vis2001024064616.idl
2001-01-24 09:01:19,wic20010240901.idl,66.53,22.23,2001-01-24 08:59:15,2001-01-24 09:00:51,2001-01-24 09:01:45,vis2001024085915.idl,vis2001024090051.idl,vis2001024090145.idl
2001-01-25 17:34:49,wic20010251734.idl,66.88,22.13,2001-01-25 17:32:18,2001-01-25 17:33:55,2001-01-25 17:34:49,vis2001025173218.idl,vis2001025173355.idl,vis2001025173449.idl
2001-02-02 08:55:48,wic20010330855.idl,67.38,23.61,2001-02-02 08:54:31,2001-02-02 08:55:25,2001-02-02 08:57:02,vis2001033085431.idl,vis2001033085525.idl,vis2001033085702.idl
2001-02-02 09:53:06,wic20010330953.idl,67.2,22.65,2001-02-02 09:50:44,2001-02-02 09:51:38,2001-02-02 09:53:14,vis2001033095044.idl,vis2001033095138.idl,vis2001033095314.idl
2001-02-05 09:31:13,wic20010360931.idl,68.5,23.38,2001-02-05 09:29:58,2001-02-05 09:30:52,2001-02-05 09:31:46,vis2001036092958.idl,vis2001036093052.idl,vis2001036093146.idl
2001-02-06 19:57:41,wic20010371957.idl,66.24,22.39,2001-02-06 19:55:28,2001-02-06 19:56:22,2001-02-06 19:57:58,vis2001037195528.idl,vis2001037195622.idl,vis2001037195758.idl
